"item";"posicao";"taxa_acerto";"dificuldade";"r_biserial";"categoria_dificuldade";"status"
"Q1";1;0,5042;0,4958;0,2689;"Fácil";"OK"
"Q2";2;0,5973;0,4027;0,3573;"Fácil";"OK"
"Q3";3;0,291;0,709;0,0338;"Médio";"REVISAR (baixa discriminação)"
"Q4";4;0,5702;0,4298;0,3262;"Fácil";"OK"
"Q5";5;0,7953;0,2047;0,3509;"Muito Fácil";"OK"
"Q6";6;0,5076;0,4924;0,2446;"Fácil";"OK"
"Q7";7;0,7107;0,2893;0,3234;"Fácil";"OK"
"Q8";8;0,7902;0,2098;0,4216;"Muito Fácil";"OK"
"Q9";9;0,5381;0,4619;0,2587;"Fácil";"OK"
"Q10";10;0,379;0,621;0,0212;"Médio";"REVISAR (baixa discriminação)"
"Q11";11;0,6379;0,3621;0,2417;"Fácil";"OK"
"Q12";12;0,6058;0,3942;0,3657;"Fácil";"OK"
"Q13";13;0,3807;0,6193;0,2418;"Médio";"OK"
"Q14";14;0,8359;0,1641;0,3361;"Muito Fácil";"OK"
"Q15";15;0,3486;0,6514;0,1238;"Médio";"REVISAR (baixa discriminação)"
"Q16";16;0,6565;0,3435;0,2351;"Fácil";"OK"
"Q17";17;0,489;0,511;0,2727;"Médio";"OK"
"Q18";18;0,7157;0,2843;0,2687;"Fácil";"OK"
"Q19";19;0,4095;0,5905;0,2376;"Médio";"OK"
"Q20";20;0,3536;0,6464;0,263;"Médio";"OK"
"Q21";21;0,3587;0,6413;0,2843;"Médio";"OK"
"Q22";22;0,6193;0,3807;0,3541;"Fácil";"OK"
"Q23";23;0,4467;0,5533;0,4028;"Médio";"OK"
"Q24";24;0,6159;0,3841;0,1947;"Fácil";"OK"
"Q25";25;0,4585;0,5415;0,2918;"Médio";"OK"
"Q26";26;0,7953;0,2047;0,3244;"Muito Fácil";"OK"
"Q27";27;0,5821;0,4179;0,2784;"Fácil";"OK"
"Q28";28;0,5651;0,4349;0,3912;"Fácil";"OK"
"Q29";29;0,6599;0,3401;0,3596;"Fácil";"OK"
"Q30";30;0,6464;0,3536;0,1925;"Fácil";"OK"
"Q31";31;0,7157;0,2843;0,3656;"Fácil";"OK"
"Q32";32;0,4856;0,5144;0,3398;"Médio";"OK"
"Q33";33;0,4179;0,5821;0,2437;"Médio";"OK"
"Q34";34;0,6667;0,3333;0,3069;"Fácil";"OK"
"Q35";35;0,7276;0,2724;0,2423;"Fácil";"OK"
"Q36";36;0,731;0,269;0,2327;"Fácil";"OK"
"Q37";37;0,4755;0,5245;0,1412;"Médio";"REVISAR (baixa discriminação)"
"Q38";38;0,6227;0,3773;0,3375;"Fácil";"OK"
"Q39";39;0,6599;0,3401;0,2992;"Fácil";"OK"
"Q40";40;0,7496;0,2504;0,3791;"Fácil";"OK"
"Q41";41;0,22;0,78;0,0306;"Difícil";"REVISAR (baixa discriminação)"
"Q42";42;0,7479;0,2521;0,317;"Fácil";"OK"
"Q43";43;0,7394;0,2606;0,3954;"Fácil";"OK"
"Q44";44;0,3283;0,6717;0,1104;"Médio";"REVISAR (baixa discriminação)"
"Q45";45;0,4738;0,5262;0,2711;"Médio";"OK"
"Q46";46;0,5076;0,4924;0,2601;"Fácil";"OK"
"Q47";47;0,6616;0,3384;0,225;"Fácil";"OK"
"Q48";48;0,6988;0,3012;0,3893;"Fácil";"OK"
"Q49";49;0,5601;0,4399;0,2682;"Fácil";"OK"
"Q50";50;0,7783;0,2217;0,3585;"Muito Fácil";"OK"
"Q51";51;0,3519;0,6481;0,3223;"Médio";"OK"
"Q52";52;0,6937;0,3063;0,1779;"Fácil";"OK"
"Q53";53;0,4687;0,5313;0,3417;"Médio";"OK"
"Q54";54;0,8443;0,1557;0,3747;"Muito Fácil";"OK"
"Q55";55;0,6294;0,3706;0,0655;"Fácil";"REVISAR (baixa discriminação)"
"Q56";56;0,7445;0,2555;0,2525;"Fácil";"OK"
"Q57";57;0,7614;0,2386;0,3251;"Muito Fácil";"OK"
"Q58";58;0,6971;0,3029;0,3769;"Fácil";"OK"
"Q59";59;0,7056;0,2944;0,2484;"Fácil";"OK"
"Q60";60;0,2369;0,7631;0,2208;"Difícil";"OK"
"Q61";61;0,2234;0,7766;0,1643;"Difícil";"OK"
"Q62";62;0,3012;0,6988;0,3046;"Médio";"OK"
"Q63";63;0,5753;0,4247;0,2326;"Fácil";"OK"
"Q64";64;0,5871;0,4129;0,1884;"Fácil";"OK"
"Q65";65;0,8629;0,1371;0,2789;"Muito Fácil";"OK"
"Q66";66;0,467;0,533;0,1536;"Médio";"OK"
"Q67";67;0,8477;0,1523;0,1707;"Muito Fácil";"OK"
"Q68";68;0,7817;0,2183;0,2599;"Muito Fácil";"OK"
"Q69";69;0,5939;0,4061;0,2433;"Fácil";"OK"
"Q70";70;0,6261;0,3739;0,1174;"Fácil";"REVISAR (baixa discriminação)"
"Q71";71;0,7174;0,2826;0,147;"Fácil";"REVISAR (baixa discriminação)"
"Q72";72;0,401;0,599;0,3037;"Médio";"OK"
"Q73";73;0,467;0,533;0,3111;"Médio";"OK"
"Q74";74;0,6768;0,3232;0,3199;"Fácil";"OK"
"Q75";75;0,5956;0,4044;0,262;"Fácil";"OK"
"Q76";76;0,286;0,714;0,2462;"Médio";"OK"
"Q77";77;0,4535;0,5465;0,2768;"Médio";"OK"
"Q78";78;0,5381;0,4619;0,2134;"Fácil";"OK"
"Q79";79;0,7394;0,2606;0,2852;"Fácil";"OK"
"Q80";80;0,6041;0,3959;0,2418;"Fácil";"OK"
"Q81";81;0,643;0,357;0,2303;"Fácil";"OK"
"Q82";82;0,6853;0,3147;0,3651;"Fácil";"OK"
"Q83";83;0,5144;0,4856;0,2981;"Fácil";"OK"
"Q84";84;0,6904;0,3096;0,2918;"Fácil";"OK"
"Q85";85;0,7411;0,2589;0,335;"Fácil";"OK"
"Q86";86;0,7733;0,2267;0,2245;"Muito Fácil";"OK"
"Q87";87;0,5431;0,4569;0,3286;"Fácil";"OK"
"Q88";88;0,445;0,555;0,2479;"Médio";"OK"
"Q89";89;0,6396;0,3604;0,2956;"Fácil";"OK"
"Q90";90;0,6328;0,3672;0,2363;"Fácil";"OK"
"Q91";91;0,8849;0,1151;0,3381;"Muito Fácil";"OK"
"Q92";92;0,7479;0,2521;0,317;"Fácil";"OK"
"Q93";93;0,6311;0,3689;0,3067;"Fácil";"OK"
"Q94";94;0,5398;0,4602;0,2458;"Fácil";"OK"
"Q95";95;0,5076;0,4924;0,1545;"Fácil";"OK"
"Q96";96;0,5482;0,4518;0,2605;"Fácil";"OK"
"Q97";97;0,2606;0,7394;0,2211;"Médio";"OK"
"Q98";98;0,6667;0,3333;0,3538;"Fácil";"OK"
"Q99";99;0,4095;0,5905;0,2842;"Médio";"OK"
"Q100";100;0,4146;0,5854;0,2515;"Médio";"OK"
